Timestamp,Workshop,Questions,Learned,LeadersJob,JobInStem,Presentation,Comments
3/29/17 13:54,Private Eye: Zoom in on Nature,5,5,5,5,5,
3/29/17 13:54,Private Eye: Zoom in on Nature,5,5,5,5,5,It was fun. I love art. :P
3/29/17 13:55,Private Eye: Zoom in on Nature,5,5,5,5,5,I loved your work. thank you
3/29/17 13:55,Private Eye: Zoom in on Nature,5,5,2,3,5,You guys were adorable!
3/29/17 13:56,"Glucose, Lactose, Sucrose, Oh' My!",4,4,4,4,5,
3/29/17 13:56,Particle Detectives: Gathering Clues to the Universe,5,5,4,5,5,I loved being a detective
3/29/17 13:57,Particle Detectives: Gathering Clues to the Universe,3,3,2,5,3,Explain the definition of the physics terms that we discussed.
3/29/17 13:57,"Glucose, Lactose, Sucrose, Oh' My!",5,5,3,5,3,
3/29/17 13:57,"Glucose, Lactose, Sucrose, Oh' My!",5,5,5,4,4,
3/29/17 13:58,"Glucose, Lactose, Sucrose, Oh' My!",5,5,4,3,5,
3/29/17 13:59,"Glucose, Lactose, Sucrose, Oh' My!",5,5,4,5,5,I love the way that there were different effects for each test strip and it changed each 30 seconds to show a different concentration. <3 Everyone was very helpful
3/29/17 13:59,It's All Fun and Games: The Coding Concepts Behind Common Games,4,5,3,4,5,
3/29/17 14:00,It's All Fun and Games: The Coding Concepts Behind Common Games,4,5,3,4,4,You should have more time to play uno
3/29/17 14:00,It's All Fun and Games: The Coding Concepts Behind Common Games,5,4,3,4,5,good way of explaining how science has to do with games.
3/29/17 14:00,It's All Fun and Games: The Coding Concepts Behind Common Games,4,5,3,3,5,
3/29/17 14:01,It's All Fun and Games: The Coding Concepts Behind Common Games,4,4,3,2,5,
3/29/17 14:01,Methods in Paleontology,3,4,3,4,5,
3/29/17 14:01,Methods in Paleontology,3,5,4,4,5,
3/29/17 14:02,Methods in Paleontology,4,3,3,2,5,
3/29/17 14:02,Methods in Paleontology,3,5,3,3,4,
3/29/17 14:02,Methods in Paleontology,3,4,4,5,4,
3/29/17 14:03,Unfolding the World,3,4,3,2,4,
3/29/17 14:03,Unfolding the World,5,5,4,5,5,
3/29/17 14:03,Unfolding the World,4,3,3,3,3,
3/29/17 14:04,Unfolding the World,3,4,3,3,3,
3/29/17 14:04,Unfolding the World,2,3,2,2,3,
3/29/17 14:04,Buggy Brouhaha,5,5,5,5,5,
3/29/17 14:05,Buggy Brouhaha,3,3,2,3,5,
3/29/17 14:05,Buggy Brouhaha,3,5,4,4,5,
3/29/17 14:05,Buggy Brouhaha,3,4,1,3,5,
3/29/17 14:05,Buggy Brouhaha,5,5,5,5,5,
3/29/17 14:06,Private Eye: Zoom in on Nature,5,5,4,5,5,
3/29/17 14:06,Private Eye: Zoom in on Nature,5,5,3,5,5,
3/29/17 14:06,Hunting for Another Earth,4,4,3,4,5,
3/29/17 14:07,Private Eye: Zoom in on Nature,5,,5,5,5,
3/29/17 14:07,Private Eye: Zoom in on Nature,4,4,4,4,4,
3/29/17 14:07,Work-Life Balance: Architect in Residence,4,5,3,4,5,
3/29/17 14:08,Bird Bugs: Avian Pathogen Identification,4,5,3,5,5,
3/29/17 14:08,It's All Fun and Games: The Coding Concepts Behind Common Games,5,5,3,3,4,
3/29/17 14:09,It's All Fun and Games: The Coding Concepts Behind Common Games,4,5,5,3,5,
3/29/17 14:09,It's All Fun and Games: The Coding Concepts Behind Common Games,4,4,5,5,4,
3/29/17 14:09,Banana DNA,5,5,5,3,5,
3/29/17 14:10,Banana DNA,5,5,4,3,4,
3/29/17 14:10,Banana DNA,4,5,5,5,5,
3/29/17 14:10,Banana DNA,4,5,4,5,4,
3/29/17 14:10,"""Scalpel, please"": The Pathway to Surgery",3,4,4,3,4,
3/29/17 14:11,"""Scalpel, please"": The Pathway to Surgery",5,5,4,5,5,
3/29/17 14:11,"""Scalpel, please"": The Pathway to Surgery",3,4,4,4,4,
3/29/17 14:11,"""Scalpel, please"": The Pathway to Surgery",5,5,5,5,5,
3/29/17 14:12,Unfolding the World,4,3,2,2,1,
3/29/17 14:12,Unfolding the World,1,2,3,1,1,
3/29/17 14:12,Unfolding the World,5,3,1,3,5,
3/29/17 14:13,Methods in Paleontology,5,5,4,5,5,
3/29/17 14:13,Methods in Paleontology,4,5,4,4,5,
3/29/17 14:13,Methods in Paleontology,5,5,4,,5,
3/29/17 14:13,Methods in Paleontology,5,5,4,5,5,
3/29/17 14:14,Unfolding the World,4,3,2,3,5,
3/29/17 14:14,Buggy Brouhaha,4,5,5,4,4,
3/29/17 14:15,Buggy Brouhaha,5,5,3,2,5,
3/29/17 14:15,Buggy Brouhaha,5,5,4,5,5,this station was fun
3/29/17 14:15,Buggy Brouhaha,5,5,4,5,5,
3/29/17 14:15,"""Oh, Behave!"" Studying Animal Behavior Objectively",5,5,5,5,5,
3/29/17 14:16,"""Oh, Behave!"" Studying Animal Behavior Objectively",5,4,3,3,4,
3/29/17 14:16,Coding with Scratch,3,4,3,4,5,
3/29/17 14:17,Coding with Scratch,4,4,3,3,4,
3/29/17 14:17,Become a Natural with Natural Products!,4,5,5,5,5,
3/29/17 14:17,Become a Natural with Natural Products!,5,5,4,5,5,
3/29/17 14:18,Coding with Scratch,3,3,2,3,3,
3/29/17 14:18,Become a Natural with Natural Products!,5,5,5,5,5,
3/29/17 14:19,Become a Natural with Natural Products!,3,5,5,5,5,she's amazing and cool
3/29/17 14:20,Become a Natural with Natural Products!,5,4,5,4,3,"The workshop was interesting, and I think that the experiment was interesting and I have never seen any experiment as cool as this. I had a lot of fun."
3/29/17 14:20,Coding with Scratch,3,4,3,4,4,
3/29/17 14:20,Coding with Scratch,5,5,5,1,5,
3/29/17 14:20,"""Oh, Behave!"" Studying Animal Behavior Objectively",5,5,5,5,5,
3/29/17 14:21,"""Oh, Behave!"" Studying Animal Behavior Objectively",4,5,3,3,5,
